"","Battery","To100sec","TopSpeed","Range","WhperKm","FastChargeSpeed","Drive","NumberofSeats","Price"
"Porsche Taycan 4S Plus",83.7,4,250,460,182,1130,2,4,90406
"Porsche Taycan 4S Plus Sport Turismo",83.7,4,250,430,195,1060,2,4,91406
"Porsche Taycan 4S Sport Turismo",71,4,250,370,192,910,2,4,87500
"Porsche Taycan GTS",83.7,3.7,250,450,186,1110,2,4,106000
"Porsche Taycan GTS Sport Turismo",83.7,3.7,250,425,197,1050,2,4,107000
"Porsche Taycan Plus",83.7,5.4,230,475,176,1170,1,4,79549
"Porsche Taycan Plus Sport Turismo",83.7,5.4,230,445,188,1090,1,4,80549
"Porsche Taycan Sport Turismo",71,5.4,230,380,187,930,1,4,76500
"Porsche Taycan Turbo",83.7,3.2,260,415,202,1020,2,4,119900
"Porsche Taycan Turbo Cross Turismo",83.7,3.3,250,400,209,980,2,4,120900
"Porsche Taycan Turbo S",83.7,2.8,260,400,209,980,2,4,142400
"Porsche Taycan Turbo S Cross Turismo",83.7,2.9,250,385,217,950,2,4,143400
"Porsche Taycan Turbo S Sport Turismo",83.7,2.8,260,395,212,970,2,4,143400
"Porsche Taycan Turbo Sport Turismo",83.7,3.2,260,405,207,1000,2,4,120900
"Renault Megane E-Tech EV60 220hp",60,7.4,160,360,167,500,0,5,36995
"Renault Zoe ZE50 R135",52,9.5,140,310,168,230,0,5,29995
"Rolls-Royce Spectre",100,4.5,250,455,220,540,2,4,350000
"Skoda Enyaq Coupe iV 80",77,8.7,160,445,173,560,1,5,44770
"Skoda Enyaq Coupe iV 80x",77,7,160,430,179,540,2,5,52450
"Skoda Enyaq Coupe iV RS",77,6.5,180,405,190,560,2,5,54370
"Skoda Enyaq iV 60",58,8.7,160,325,178,440,1,5,38970
"Skoda Enyaq iV 80",77,8.6,160,420,183,530,1,5,42925
"Skoda Enyaq iV 80x",77,6.9,160,400,193,500,2,5,51765
"Smart #1",62,6.7,180,330,188,510,1,5,35000
"Smart #1 Brabus",62,3.9,180,320,194,490,2,5,42000
"Subaru Solterra AWD",64,6.9,160,320,200,480,2,5,49995
"Tesla Model 3",57.5,6.1,225,380,151,630,1,5,42990
"Tesla Model 3 Long Range Dual Motor",75,4.4,233,485,155,750,2,5,50990
"Tesla Model 3 Performance",75,3.3,261,460,163,710,2,5,57990
"Tesla Model S Dual Motor",95,3.2,250,570,167,790,2,5,100000
"Tesla Model S Plaid",95,2.1,282,550,173,770,2,5,125000
"Tesla Model X Dual Motor",95,3.9,250,470,202,650,2,7,108000
"Tesla Model X Plaid",95,2.6,262,455,209,630,2,7,128000
"Tesla Model Y",57.5,6.9,217,345,167,580,1,5,44990
"Tesla Model Y Long Range Dual Motor",75,5,217,435,172,670,2,5,52990
"Tesla Model Y Performance",75,3.7,250,415,181,640,2,5,59990
"Toyota bZ4X AWD",64,6.9,160,330,194,490,2,5,52110
"Toyota bZ4X FWD",64,7.5,160,335,191,500,0,5,45710
"Volkswagen ID. Buzz Pro",77,10.2,145,330,233,460,1,5,57115
"Volkswagen ID.3 Pro",58,7.3,160,350,166,450,1,5,35000
"Volkswagen ID.3 Pro S - 4 Seats",77,7.9,160,455,169,680,1,4,43000
"Volkswagen ID.4 GTX",77,6.3,180,400,193,560,2,5,52865
"Volkswagen ID.4 Pro",77,10.4,160,410,188,520,1,5,44605
"Volkswagen ID.4 Pro Performance",77,8.5,160,410,188,520,1,5,46035
"Volkswagen ID.4 Pure",52,10.9,160,285,182,360,1,5,38845
"Volkswagen ID.4 Pure Performance",52,9,160,285,182,360,1,5,40275
"Volkswagen ID.5 GTX",77,6.3,180,405,190,560,2,5,56545
"Volkswagen ID.5 Pro",77,10.4,160,430,179,540,1,5,50710
"Volkswagen ID.5 Pro Performance",77,8.4,160,430,179,540,1,5,52185
"Volkswagen ID.7 Pro",77,8,180,470,164,700,1,5,53000
"Volkswagen ID.7 Pro S",86,7,180,520,165,800,1,5,56000
"Volvo C40 Recharge Single Motor",66,7.3,180,355,186,430,1,5,48355
"Volvo C40 Recharge Twin Motor",79,4.7,180,400,198,600,2,5,53605
"Volvo EX90 Twin Motor",107,5.9,180,455,235,590,2,7,96255
"Volvo EX90 Twin Motor Performance",107,4.9,180,440,243,570,2,7,100555
"Volvo XC40 Recharge Single Motor",66,7.3,180,345,191,420,1,5,46505
"Volvo XC40 Recharge Twin Motor",79,4.8,180,390,203,580,2,5,51755
